Date,Open,High,Low,Close,Volume,Turnover
2020-02-19,7754.35,7769.4,7606.25,7687.35,115975048,30419500000.0
2020-02-20,7687.5,7756.35,7667.85,7697.9,104257555,26235400000.0
2020-02-24,7644.05,7644.05,7414.0,7429.1,89107742,27198000000.0
2020-02-25,7452.75,7485.15,7339.9,7366.0,128000336,34312500000.0
2020-02-26,7306.3,7328.2,7178.5,7207.95,116463070,34743800000.0
2020-02-27,7200.15,7202.05,7090.45,7178.85,120786335,36288500000.0
2020-02-28,7008.1,7017.6,6883.35,6903.95,185874149,48663500000.0
2020-03-02,6993.2,7047.6,6813.2,6856.9,205715986,49029799999.99999
2020-03-03,6889.45,7022.25,6846.7,6986.65,144602750,38537500000.0
2020-03-04,6990.85,7019.55,6775.8,6938.85,174403462,42030800000.0
2020-03-05,6966.3,7013.65,6892.75,6953.75,163392161,32247100000.0
2020-03-06,6712.2,6918.85,6661.95,6895.0,130898149,30563300000.0
2020-03-09,6703.45,6758.7,6498.8,6632.15,133699193,30749800000.0
2020-03-11,6614.15,6714.75,6539.75,6568.45,172323537,36537000000.0
2020-03-12,6299.9,6299.9,5953.2,6033.4,282205921,50446000000.0
2020-03-13,5641.55,6292.85,5265.8,6182.0,203336978,38017400000.0
2020-03-16,5970.15,6041.35,5826.1,5843.7,140253925,25921500000.0
2020-03-17,5858.3,6020.7,5767.5,5803.85,126029595,26748000000.0
2020-03-18,5873.1,5896.85,5491.0,5516.5,125615136,24294400000.0
2020-03-19,5217.95,5429.5,5042.9,5180.5,202740130,37538100000.0
2020-03-20,5230.2,5423.2,5154.1,5370.15,229830607,34713200000.0
2020-03-23,4908.15,5013.85,4593.05,4626.5,120637088,21296700000.0
2020-03-24,4726.4,4850.85,4452.2,4693.35,146706064,26048300000.0
2020-03-25,4600.05,5001.9,4577.15,4936.15,147442630,24442900000.0
2020-03-26,4981.9,5163.7,4847.15,5061.3,208806955,30658300000.0
2020-03-27,5245.6,5284.75,4866.05,4938.7,175519110,27821100000.0
2020-03-30,4834.15,4848.0,4625.5,4669.15,95603443,23367000000.0
2020-03-31,4787.8,4794.3,4630.2,4731.3,111576333,26356900000.0
2020-04-01,4708.95,4803.55,4612.7,4657.55,108107529,22649100000.0
2020-04-03,4652.75,4659.8,4511.1,4517.75,104162675,23760000000.0
2020-04-07,4665.1,4970.85,4656.5,4951.55,140084138,33580700000.0
2020-04-08,4833.0,5257.0,4830.4,5043.6,219644053,39735500000.0
2020-04-09,5160.85,5607.35,5146.4,5568.45,226178245,55294900000.0
2020-04-13,5554.4,5554.4,5308.85,5432.1,153555220,32075500000.0
2020-04-15,5495.55,5592.8,5314.25,5333.0,221470743,41419799999.99999
2020-04-16,5271.25,5420.4,5235.65,5394.15,168466689,34536800000.0
2020-04-17,5586.4,5702.65,5507.75,5668.9,196606439,46640100000.0
2020-04-20,5724.9,5728.45,5565.95,5591.0,228792177,41187800000.0
2020-04-21,5447.9,5447.9,5268.15,5294.05,146929307,31174400000.0
2020-04-22,5267.8,5468.25,5243.6,5426.85,144746153,37584200000.0
2020-04-23,5439.1,5518.7,5390.95,5464.75,109244052,28887700000.0
2020-04-24,5405.9,5462.5,5362.85,5377.25,88175839,23000200000.0
2020-04-27,5458.65,5528.8,5405.7,5433.2,106148950,26288500000.0
2020-04-28,5476.85,5524.05,5399.3,5447.1,99044323,22681500000.0
2020-04-29,5492.0,5568.0,5461.05,5543.75,200005473,32371600000.0
2020-04-30,5667.35,5926.5,5660.55,5901.4,337079062,62630700000.0
2020-05-04,5647.85,5652.8,5436.05,5476.2,177071898,33422399999.999996
2020-05-05,5582.15,5602.1,5442.75,5451.9,161356727,33111000000.0
2020-05-06,5471.6,5593.3,5351.2,5552.4,142224254,34617700000.0
2020-05-07,5549.95,5616.4,5505.45,5519.0,101010878,26427000000.0
2020-05-08,5622.7,5623.75,5424.8,5447.75,120922862,29083200000.0
2020-05-11,5517.6,5789.7,5514.4,5679.7,301862752,62026899999.99999
2020-05-12,5653.6,5735.65,5502.8,5708.95,164451576,44763900000.0
2020-05-13,6014.2,6033.95,5815.5,5844.6,179261745,51723200000.0
2020-05-14,5698.55,5865.95,5668.4,5804.05,109783296,35502200000.0
2020-05-15,5823.3,5827.15,5680.25,5745.7,124232994,36899300000.0
2020-05-18,5747.5,5752.15,5411.95,5430.05,142416404,41701600000.0
2020-05-19,5538.65,5575.6,5456.1,5486.15,142201440,33161600000.0
2020-05-20,5464.85,5632.45,5436.35,5603.8,116215577,33136600000.0
2020-05-21,5616.95,5784.3,5588.35,5749.9,130058200,43714900000.0
2020-05-22,5707.25,5789.25,5639.65,5767.0,101208059,35261800000.0
2020-05-26,5817.2,5872.75,5775.4,5854.3,112408957,30472100000.0
2020-05-27,5872.45,5910.75,5791.25,5896.95,139933641,33240100000.000004
2020-05-28,5922.15,6131.35,5876.4,6112.3,249406477,62929700000.0
2020-05-29,6036.45,6246.95,6016.0,6218.8,330410493,77893500000.0
2020-06-01,6299.05,6485.85,6294.05,6419.5,227171489,54637200000.0
2020-06-02,6455.8,6542.65,6395.5,6471.3,313034327,64316300000.0
2020-06-03,6567.95,6622.1,6475.3,6498.65,203249224,46466600000.0
2020-06-04,6501.65,6564.95,6411.25,6511.35,174970009,41038000000.0
2020-06-05,6563.8,6645.15,6527.0,6628.75,318957389,49751300000.0
2020-06-08,6707.95,6743.15,6588.5,6610.55,348484881,58084700000.0
2020-06-09,6648.95,6665.75,6525.25,6577.7,215281290,45822700000.00001
2020-06-10,6568.8,6598.5,6470.5,6502.65,187890552,41312900000.0
2020-06-11,6491.95,6549.9,6345.8,6373.6,138121727,36342900000.0
2020-06-12,6075.3,6578.4,6074.15,6559.4,207413808,55593400000.0
2020-06-15,6530.75,6573.2,6417.75,6443.0,168470548,46988700000.0
2020-06-16,6561.2,6582.65,6355.75,6451.05,297809010,52764300000.0
