Open,High,Low,Close,Adj Close,Volume
31923.94921875,31923.94921875,31050.94921875,31080.650390625,31080.650390625,282200
30978.849609375,31171.25,30858.599609375,30947.55078125,30947.55078125,227500
31061.599609375,31149.05078125,30614.0,30701.44921875,30701.44921875,200600
30742.19921875,31087.25,30621.349609375,31004.05078125,31004.05078125,343800
31040.099609375,31375.44921875,30879.05078125,31241.75,31241.75,424600
31110.55078125,31227.05078125,30808.55078125,30837.400390625,30837.400390625,309900
30922.0,31048.44921875,30656.349609375,30761.400390625,30761.400390625,239600
30915.099609375,31082.849609375,30835.80078125,30877.0,30877.0,268800
30889.25,30909.5,30521.30078125,30647.400390625,30647.400390625,328900
30950.5,31033.44921875,30691.80078125,30833.599609375,30833.599609375,333400
29811.75,30105.80078125,29612.55078125,30023.25,30023.25,337100
