Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,22352.0,22504.44921875,22267.05078125,22320.349609375,22320.349609375,0
2020-09-18,22439.349609375,22469.400390625,21784.900390625,22031.05078125,22031.05078125,0
2020-09-21,21983.400390625,22098.849609375,21274.30078125,21366.80078125,21366.80078125,0
2020-09-22,21445.25,21473.349609375,20958.44921875,21139.099609375,21139.099609375,0
2020-09-23,21350.80078125,21365.05078125,20821.0,21178.5,21178.5,0
2020-09-24,20898.80078125,20955.599609375,20404.900390625,20456.849609375,20456.849609375,0
2020-09-25,20740.80078125,21064.30078125,20430.69921875,20982.349609375,20982.349609375,0
2020-09-28,21152.05078125,21708.849609375,21055.099609375,21665.5,21665.5,0
2020-09-29,21770.900390625,21811.5,21280.599609375,21411.30078125,21411.30078125,0
2020-09-30,21405.25,21549.349609375,21128.5,21451.80078125,21451.80078125,0
2020-10-01,21685.25,22293.75,21664.150390625,22246.0,22246.0,0
2020-10-05,22352.099609375,22768.55078125,22247.25,22370.94921875,22370.94921875,0
2020-10-06,22673.05078125,22893.5,22521.05078125,22853.69921875,22853.69921875,0
2020-10-07,22836.94921875,23036.19921875,22607.80078125,22964.80078125,22964.80078125,0
2020-10-08,23150.25,23450.900390625,23063.599609375,23191.349609375,23191.349609375,0
2020-10-09,23312.599609375,23904.099609375,23132.44921875,23846.80078125,23846.80078125,0
2020-10-12,23955.599609375,24190.349609375,23552.599609375,23712.80078125,23712.80078125,0
2020-10-13,23663.05078125,23775.150390625,23431.5,23492.19921875,23492.19921875,0
2020-10-14,23353.150390625,23962.69921875,23149.44921875,23874.650390625,23874.650390625,0
2020-10-15,23920.349609375,24087.849609375,22970.94921875,23072.400390625,23072.400390625,0
2020-10-16,23219.849609375,23646.19921875,23148.94921875,23533.25,23533.25,0
2020-10-19,23902.900390625,24320.94921875,23754.849609375,24266.75,24266.75,0
2020-10-20,24117.349609375,24410.900390625,24039.849609375,24311.80078125,24311.80078125,0
2020-10-21,24444.19921875,24823.599609375,24099.849609375,24635.05078125,24635.05078125,0
2020-10-22,24447.349609375,24691.150390625,24250.19921875,24484.150390625,24484.150390625,0
2020-10-23,24669.19921875,24764.150390625,24360.849609375,24478.30078125,24478.30078125,0
2020-10-26,24525.80078125,24577.30078125,23867.75,24075.44921875,24075.44921875,0
2020-10-27,24288.05078125,24809.650390625,23924.19921875,24769.5,24769.5,0
2020-10-28,24737.849609375,24780.69921875,24057.94921875,24232.5,24232.5,0
2020-10-29,24063.5,24339.099609375,23822.05078125,24092.0,24092.0,0
2020-10-30,24090.150390625,24277.349609375,23612.69921875,23900.900390625,23900.900390625,0
2020-11-02,24367.599609375,25139.0,24120.599609375,24892.5,24892.5,0
2020-11-03,25108.0,25760.69921875,25085.69921875,25682.80078125,25682.80078125,0
2020-11-04,25539.55078125,25891.0,25142.0,25771.599609375,25771.599609375,0
2020-11-05,26174.80078125,26375.19921875,26000.05078125,26313.099609375,26313.099609375,0
2020-11-06,26274.099609375,26853.44921875,26135.30078125,26798.94921875,26798.94921875,0
2020-11-09,27088.94921875,27595.0,27068.94921875,27534.099609375,27534.099609375,0
2020-11-10,28039.44921875,28802.5,27916.900390625,28606.0,28606.0,0
2020-11-11,28713.150390625,29030.900390625,28211.099609375,28845.0,28845.0,0
2020-11-12,28633.75,28672.900390625,28066.05078125,28278.80078125,28278.80078125,0
2020-11-13,28108.69921875,28520.55078125,27703.30078125,28465.69921875,28465.69921875,0
2020-11-17,28792.25,29239.25,28722.900390625,29181.30078125,29181.30078125,0
2020-11-18,29107.900390625,29784.75,29056.75,29749.849609375,29749.849609375,0
2020-11-19,29302.599609375,29627.19921875,28819.55078125,28903.05078125,28903.05078125,0
2020-11-20,28935.75,29406.69921875,28580.900390625,29236.0,29236.0,0
2020-11-23,29432.80078125,29492.30078125,28852.900390625,29024.19921875,29024.19921875,0
2020-11-24,29265.599609375,29827.80078125,29206.75,29737.25,29737.25,0
2020-11-25,30021.900390625,30197.849609375,29132.30078125,29196.400390625,29196.400390625,0
2020-11-26,29370.400390625,29623.0,28923.099609375,29549.75,29549.75,369400
2020-11-27,29622.0,29716.849609375,29368.69921875,29609.05078125,29609.05078125,0
2020-12-01,29844.80078125,29919.75,29511.0,29817.849609375,29817.849609375,0
2020-12-02,29876.69921875,29886.25,29149.900390625,29463.150390625,29463.150390625,0
2020-12-03,29728.900390625,29813.0,29379.400390625,29448.75,29448.75,0
2020-12-04,29573.400390625,30162.30078125,29473.5,30052.400390625,30052.400390625,0
2020-12-07,30062.599609375,30354.19921875,29950.599609375,30211.55078125,30211.55078125,0
2020-12-08,30300.30078125,30363.80078125,30025.19921875,30261.900390625,30261.900390625,0
2020-12-09,30335.05078125,30807.25,30326.69921875,30709.400390625,30709.400390625,0
2020-12-10,30545.349609375,30610.0,30202.099609375,30510.349609375,30510.349609375,0
2020-12-11,30555.30078125,30811.80078125,30328.44921875,30604.849609375,30604.849609375,0
2020-12-14,30735.150390625,30845.80078125,30624.25,30745.900390625,30745.900390625,269000
2020-12-15,30805.400390625,30805.849609375,30345.75,30691.05078125,30691.05078125,279400
2020-12-16,30920.349609375,30932.25,30587.099609375,30698.400390625,30698.400390625,0
2020-12-17,30791.19921875,30945.19921875,30643.900390625,30847.05078125,30847.05078125,0
2020-12-18,30841.849609375,30854.05078125,30374.5,30714.650390625,30714.650390625,0
2020-12-21,30595.80078125,30607.5,29201.19921875,29456.44921875,29456.44921875,0
2020-12-22,29607.5,29711.150390625,28976.75,29625.94921875,29625.94921875,0
2020-12-23,29560.75,29941.400390625,29446.0,29883.30078125,29883.30078125,0
2020-12-24,30071.650390625,30545.849609375,30007.80078125,30402.19921875,30402.19921875,0
2020-12-28,30558.849609375,30929.05078125,30538.150390625,30880.94921875,30880.94921875,0
2020-12-29,31006.900390625,31359.349609375,31002.599609375,31322.5,31322.5,0
2020-12-30,31479.80078125,31510.25,31007.150390625,31303.05078125,31303.05078125,0
2020-12-31,31295.900390625,31409.5,31088.099609375,31264.05078125,31264.05078125,0
2021-01-04,31485.150390625,31489.599609375,30893.650390625,31212.44921875,31212.44921875,0
2021-01-05,31041.099609375,31767.650390625,30935.55078125,31722.25,31722.25,0
2021-01-06,31839.94921875,31982.30078125,31548.150390625,31797.900390625,31797.900390625,0
2021-01-07,32129.80078125,32177.400390625,31911.5,31956.0,31956.0,0
2021-01-08,32298.05078125,32298.05078125,32002.94921875,32084.19921875,32084.19921875,0
2021-01-11,32280.30078125,32288.44921875,31836.94921875,31998.900390625,31998.900390625,0
2021-01-12,31835.05078125,32397.94921875,31725.849609375,32339.0,32339.0,0
2021-01-13,32546.599609375,32683.5,32148.25,32574.650390625,32574.650390625,0
2021-01-14,32526.69921875,32718.94921875,32442.349609375,32519.75,32519.75,0
2021-01-15,32508.900390625,32544.80078125,32044.349609375,32246.80078125,32246.80078125,0
2021-01-18,32275.150390625,32441.5,31650.900390625,31811.75,31811.75,396800
2021-01-19,32082.900390625,32464.94921875,31863.94921875,32424.849609375,32424.849609375,354800
2021-01-20,32388.94921875,32607.44921875,32322.900390625,32543.69921875,32543.69921875,0
2021-01-21,32732.80078125,32842.30078125,31985.55078125,32186.900390625,32186.900390625,0
2021-01-22,32088.0,32131.400390625,31119.900390625,31167.25,31167.25,0
2021-01-25,31507.150390625,31697.55078125,31013.650390625,31198.400390625,31198.400390625,0
2021-01-27,31236.25,31287.05078125,30165.650390625,30284.55078125,30284.55078125,0
2021-01-28,29812.30078125,30464.400390625,29687.69921875,30358.30078125,30358.30078125,0
2021-01-29,30700.650390625,31111.94921875,30254.55078125,30565.5,30565.5,0
2021-02-01,30976.349609375,33305.30078125,30906.44921875,33089.05078125,33089.05078125,0
2021-02-02,33589.05078125,34652.5,33583.1484375,34267.8984375,34267.8984375,672200
